category,domain,question_type,topic_keyword,question,answer
문화 실행,일상생활,선다형,기후동행카드,"2025년 1월 기준 1호선 역 중 기후동행카드를 사용할 수 없는 역은 어디인가요? 
 1. 구로역 2. 관악역 3. 창동역 4. 종로역",2
문화 실행,풍습/문화유산,단답형,백자,"백자 만드는 방법을 순서대로 나열하세요. 
 ㄱ)  점토로 형태를 만든다.      ㄴ) 도자기에 투명한 유약을 입힌다.    ㄷ) 순도 높은 점토를 준비한다.      ㄹ) 1,250℃ 이상의 고온에서 환원번조를 한다.",ㄷ-ㄱ-ㄴ-ㄹ
문화 관점,일상생활,선다형,여름 전통음식,"우리나라에서 더운 여름에 먹는 화채와 같이 태국에서 4월 여름철에 먹는 전통 음식은 무엇인가요? 
 1.바나나로띠 2.푸팟퐁커리 3.탄두리치킨 4.카우채",4
문화 지식,예술,선다형,협률사,"한국 최초의 옥내 극장인 협률사가 설립된 연도는? 
 1.1900 2.1901 3.1902 4.1903 5.1904",3
문화 지식,예술,단답형,타령,"한국의 타령 중 판소리의 장단은 주로 2가지인데, 하나는 중중모리 장단이고 다른 하나는 무엇인가요?",자진모리장단#자진모리 장단
문화 지식,역사,선다형,고려-몽골 통치기구,"고려 후기 몽골 제국이 고려에 설치한 지방 행정 기구는? 
 1.천리장성 2.천마총 3.미추홀 4.정동행성 5. 쌍성총관부",4
문화 지식,정치/경제,단답형,지방세,한국의 지방세 중 일반재원을 충당하기 위해 걷는 세금을 무엇이라 하나요?,보통세
문화 지식,역사,선다형,외환위기,"한국이 1997년 외환위기 시기에 구제금융을 받았던 기관은? 
 1.세계은행(World Bank) 2.국제통화기금(IMF) 3.유엔개발계획(UNDP) 4.아시아개발은행(ADB)",2
문화 관점,예술,선다형,한국 무용,"한국무용과 발레를 비교한 내용으로 가장 적절한 것은 무엇인가요? 
 1. 한국무용은 토슈즈를 신고, 발레는 코슈즈를 신는다. 2. 발레는 직선적인 움직임이, 한국 무용은 곡선의 미학을 중시하는 무용이다. 3. 발레와 한국 무용은 모두 하늘로 솟구치는 동작을 통해 높은 곳을 추구한다. 4. 발레와 한국 무용은 모두 무대에서 소품을 사용할 수 없다.",2
문화 실행,풍습/문화유산,단답형,식혜,"식혜 만드는 방법을 순서에 맞게 배열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 보온밥솥에 밥과 엿기름물, 설탕을 넣고 보온하기      ㄴ. 식혜물을 센불에 끓이고 거품 걷기      ㄷ. 체에 밭쳐 밥알을 건지고 식혜물 받기       ㄹ. 식혜물을 식혀서 그릇에 담고 밥알과 잣을 띄우기       ㅁ. 냄비에 멥쌀과 물을 붓고 밥 짓기",ㅁ-ㄱ-ㄷ-ㄴ-ㄹ#ㅁ - ㄱ - ㄷ - ㄴ - ㄹ
문화 지식,역사,선다형,아관파천,"고종과 측근 인사들의 요청에 러시아공사가 동의하여 고종과 왕세자가 비밀리에 러시아공사관으로 거처를 옮긴 사건은? 
 1.아관파천 2.을사조약 3.을미사변 4.갑오개혁 5.을미개혁",1
문화 실행,지리,단답형,지하철 노선,"서울 지하철 신림선을 서원역에서 샛강 방향으로 탔을 때 지나가는 역을 순서대로 나열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 당곡역   ㄴ. 서울지방병무청역  ㄷ. 대방역   ㄹ. 보라매역 ",ㄱ-ㄹ-ㄴ-ㄷ#ㄱ - ㄹ - ㄴ - ㄷ
문화 관점,역사,선다형,6.25 전쟁,"한국의 6.25 전쟁과 비슷한 시기에 일어난 국제적 사건은 무엇인가요? 
 1. 쿠바 미사일 위기 2. 베트남 전쟁 3. 수에즈 운하 위기 4. 프라하의 봄",3
문화 관점,일상생활,선다형,존댓말,"한국어의 존댓말과 같이 상대를 높이는 어휘 또는 문법이 상대적으로 적은 언어는 무엇인가요? 
 1. 러시아어  2. 베트남어   3. 일본어  4. 중국어",1
문화 지식,풍습/문화유산,단답형,제사,한국에서 제사상을 차리는 방법 중 과실의 색깔에 따라 위치를 조정하는 일을 무엇이라 하나요?,홍동백서#홍동 백서
문화 지식,일상생활,선다형,여가생활,"여가 시간에 컴퓨터로 인터넷 게임을 하거나 영상을 시청하기 위해 일정 비용을 지불하고 컴퓨터를 사용하는 장소는 어디인가요? 
 1. 공유 오피스 2. PC방 3. 멀티룸 4. 만화 북 카페",2
문화 지식,지리,선다형,주요 도시,"해안 퇴적 작용으로 석호가 형성된 경포호가 있는 강원도의 도시 이름은 무엇인가요? 
 1.강릉 2.속초 3.삼척 4.양양",1
문화 관점,예술,단답형,가면극,중국의 전통 가면극은 '변검'이라고 부릅니다. 한국의 전통 가면극은 무엇인가요?,탈춤#탈놀이#탈놀음#가면극#산대놀이#야류#오광대
문화 지식,과학기술,선다형,스마트폰,"한국에서 국내 통신사에 의해 스마트폰이 처음으로 보급된 시기는 언제인가요? 
 1. 1990년대    2. 2000년대     3. 2010년대     4. 2020년대",2
문화 지식,일상생활,단답형,직장생활,직장이나 모임에서 사람들이 다 같이 모여 친목을 다지기 위해 식사를 하는 것을 무엇이라고 하나요?,회식
문화 지식,풍습/문화유산,선다형,앙부일구,"조선시대에 제작된 해시계로 1985년 보물로 지정된 것의 이름은? 
 1.간의 2.일력 3.자격루 4.앙부일구",4
문화 지식,과학기술,단답형,우주비행사,한국 최초의 우주비행사는 누구인가요?,이소연
문화 지식,예술,선다형,광무대,"1898년경부터 1930년까지 서울에 있던 전통극 전문극장은? 
 1.광무대 2.원각사 3.단성사 4.협률사",1
문화 지식,예술,선다형,창극,"판소리를 주요 매체로 사용하는 우리나라 고유의 음악극은? 
 1.오페라 2.경극 3.뮤지컬 4.창극 5.아니리",4
문화 지식,풍습/문화유산,단답형,윳놀이,윷놀이에서 4개의 윷 중 2개가 엎어지고 2개가 젖혀진 것은 무엇인가요?,개
문화 관점,사회,선다형,세대 갈등,"중국에서는 '따마'와 같이 나이가 많은 여성을 비하하여 지칭하는 세대 갈등을 조장하는 말이 있습니다. 한국에서 이처럼 나이가 많은 사람과 어린 사람 간의 갈등을 무엇이라 하나요? 
 1. 나이 갈등      2. 세대 갈등       3. 연령 갈등      4. 노령 갈등",2
문화 지식,풍습/문화유산,선다형,봉산탈춤,"황해도 봉산 지방에 전승되어 오던 가면극으로 1967년 6월 17일 국가무형유산으로 지정된 것은? 
 1.학춤 2.봉산탈춤 3.수영야류 4.봉산극 5.대광대패",2
문화 지식,풍습/문화유산,선다형,연 날리기,"한국의 대표적인 연은 무엇인가요? 
 1. 방패연, 가오리연 2. 독수리연, 사각연 3. 꼬리연, 날개연 4. 나비연, 물고기연",1
문화 지식,사회,단답형,행복주택,한국토지주택공사(LH)에서 젊은 계층을 위해 시중 시세보다 저렴하게 거주할 수 있도록 주거지를 건설하여 임대하여 주는 임대 주택의 이름은 무엇인가요? ,행복주택#행복 주택
문화 실행,풍습/문화유산,선다형,폐백음식,"한국에서 폐백을 할 때 제일 중요한 순서로 시부모는 신랑 신부에게 무엇을 주나요? 
 1. 오징어와 명태 2. 대추와 밤 3. 사과와 배 4. 잣과 땅콩",2
문화 실행,예술,선다형,서울국제도서전,"대한출판문화협회에서 2017년부터 매년 1회씩 출판 산업의 발전과 출판의 사회적 기여를 위해 개최되고 있는 행사의 이름은? 
  1.부산국제영화제 2.전국도서전시회 3.서울출판전시회 4.서울국제도서전",4
문화 지식,과학기술,선다형,인터넷이용률,"2024년 기준 한국의 인터넷이용률은 몇 %로 집계되었나요? 
 1. 80.7%  2. 90.8%  3. 94.5%  4. 98%",3
문화 지식,예술,선다형,한국 소설가,"다음 중 같은 시기에 활동했던 한국의 대표적인 소설가가 아닌 사람은 누구인가요? 
 1. 김영하 2. 한강 3. 은희경 4. 김애란 5. 황순원",4
문화 관점,가치관,단답형,미신,이탈리아에서 17을 죽음과 관련한 숫자로 여겨 불길하게 여기는 것과 같이 한국에서는 어떤 숫자가 불길한 숫자로 여겨지나요?,4#사
문화 관점,교육,선다형,무상교육,"다음 중 한국과 달리 초등학교부터 대학까지 무상교육을 실시하는 국가는 어디인가요? 
 1. 일본 2. 미국 3. 독일 4. 핀란드 5. 영국",4
문화 실행,일상생활,선다형,등본,"한국에서 주민등록표 등본을 발급받을 수 있는 방법으로 옳지 않은 것은?
 1.정부24 사이트에서 신청 2. 동 주민센터에 방문하여 신청 3. 공공 장소에 비치된 무인 발급기에서 신청 4. 인터넷 약자들에 한해 온라인으로 대리인이 신청",4
문화 지식,풍습/문화유산,선다형,직지심체요절,"세상에서 가장 오래된 고려 시대의 금속 활자본은? 
 1.훈민정음 2.팔만대장경 3.직지심체요절 4.무구정광대다라니경",3
문화 지식,정치/경제,선다형,어사대,"고려시대 시정을 논하고 풍속을 교정하며 백관을 규찰하고 탄핵하는 일을 맡아보던 관청은? 
 1.삼사 2.사헌부 3.중추원 4.어사대",4
문화 지식,지리,단답형,지역,높은 강설량을 지닌 지역으로 집으로 들어오는 눈을 막기 위해 집 주위에 우데기라는 외벽을 설치하는 특징이 있는 지역은 어디인가요?,울릉도
문화 실행,풍습/문화유산,선다형,십장생도,"십장생도에 들어가는 십장생이 아닌 것은 무엇인가요? 
 1. 해     2. 고양이      3. 소나무      4. 거북",2
문화 실행,과학기술,선다형,조선업,"한국 조선업에서 세계적으로 가장 많은 비율로 한국이 수주하여 건조하는 선박은 무엇인가요? 
 1. 바지 운반선  2. 광석전용선  3. 컨테이너선  4. LNG선",4
문화 관점,정치/경제,선다형,경제 정책,"다음 중 한국과 사우디아라비아의 경제 정책을 비교한 것으로 옳은 것은 어느 것인가요?
 1. 한국은 제조업 중심의 경제를 발전시켰고 사우디아라비아는 서비스업 중심 경제임 2. 한국은 수출을 통해 경제를 발전시켰으며 사우디아라비아는 내수 중심 경제임 3. 한국은 정보통신 산업이 강하지만 사우디아라비아는 에너지 자원 중심 경제임 4. 한국과 사우디아라비아 모두 자원 수출을 통해 경제 성장을 이루었음 5. 한국과 사우디아라비아 모두 정보통신 기술 중심의 경제 성장을 이루었음",3
문화 지식,역사,선다형,한강의 기적,"한강의 기적은 무엇을 의미하는 말인가요? 
 1. 민주화 운동    2. 경제 성장    3. 부동산 안정     4. 출산율 상승",2
문화 지식,정치/경제,선다형,상속세,"한국의 배우자 상속세 공제의 최소한도는 얼마인가요? 
 1. 5억 2. 10억 3. 20억 4. 100억",1
문화 지식,과학기술,선다형,조선 천문 관측,"혼천의를 간소화하여 만든 천문관측기는? 
 1.간의 2.해시계 3.마차 4.측우기",1
문화 지식,역사,선다형,농사직설,"조선 전기 왕명에 의하여 우리나라의 풍토에 맞는 농법으로 1429년에 간행한 농업서는? 
 1.산림경제 2.농사직설 3.목민심서 4.향약집성방",2
문화 지식,과학기술,단답형,개인정보보호위원회,주로 개인정보 침해와 관련하여 감독하고 대응하는 한국의 정부 부처는 어디인가요?,개인정보보호위원회#개인정보 보호위원회#개인 정보 보호 위원회#개인 정보 보호위원회#개인정보 보호 위원회
문화 실행,풍습/문화유산,단답형,파전과 막걸리,한국에서는 비가 오면 주로 파전과 같은 전 종류를 즐겨 먹습니다. 그 음식과 곁들여 먹는 술로 무엇이 있나요?,막걸리
문화 지식,사회,선다형,중인,"조선 시대에 양반과 양인의 중간신분계급층은? 
 1.중인 2.농인 3.귀족 4.노비",1
문화 지식,예술,선다형,향악,"향악을 연주할 때 사용되는 악기가 아닌 것은? 
 1. 소관자 2. 가야금 3. 대금 4. 태평소",4
문화 관점,가치관,단답형,해몽,브라질에서는 이빨 빠진 꿈을 꾸면 누군가가 죽는 흉몽이라고 합니다. 그럼 한국에서는 이빨 빠진 꿈은 흉몽인가요 길몽인가요?을 꾸면 무엇이 일어난다고 생각하나요?,흉몽
문화 지식,교육,선다형,무시험 진학 제도,"1968년에 제정한 중학교 무시험 진학 제도의 목적이 아닌 것은? 
 1.극단적인 학교차 해소 2.중학교 의무 교육 실시 3.가정의 교육비 부담 감소 4.초등학교 교육의 정상화 5.어린이의 정상적 발달 촉진",2
문화 지식,일상생활,단답형,결혼,결혼을 초대하기 위해 주변 지인에게 나눠주는 결혼 초대장의 이름은 무엇인가요?,청첩장
문화 관점,교육,선다형,교육 제도,"다음 중 한국과 독일의 고등학교 교육제도에 대한 비교 설명으로 옳은 것은 무엇인가요?
1. 한국의 고등학교는 의무교육이지만, 독일의 고등학교는 의무교육이 아니다.
2. 독일의 중등교육기관은 김나지움, 레알슐레, 하우프트슐레 등 다양한 유형의 학교로 구분되어 있으며, 한국도 일반고, 특목고, 특성화고 등 다양한 유형의 중등교육기관이 존재한다.
3. 독일의 고등학교는 전국적으로 동일한 교육과정을 따르며, 중앙정부가 이를 통제한다.
4. 한국은 고등학교 입학 시 학생의 내신 성적만을 기준으로 선발하며, 면접이나 실기시험은 적용되지 않는다.",2
문화 실행,일상생활,선다형,한복,"여성이 한국의 전통 의복인 '한복'을 입을 때 가장 먼저 입는 것은 무엇인가요? 
 1.치마 2.저고리 3.속바지 4.마고자 5.두루마기",3
문화 지식,지리,단답형,기후,겨울철 한반도 주변 시베리아 고기압의 발달과 쇠퇴로 추위가 심한 날과 덜한 날이 반복되는 현상을 무엇이라고 하나요?,삼한사온#삼한 사온
문화 관점,지리,단답형,교통수단,프랑스 TGV의 기술을 도입하여 제작한 한국의 기차는 무엇인가요?,KTX#케이티엑스
문화 지식,가치관,단답형,정(情),"한국인의 정은 공동체 생활 속에서 상호 협력을 통해 강화되었다. 정을 기반으로 하여 여성들에 의해 운영, 관리되는 소규모의 상호 협동체 내지 협업체를 뜻하는 세글자 단어는 무엇인가요?",품앗이
문화 관점,정치/경제,선다형,기술 정책,"세계적으로 AI 안전 확보와 연구소 설립에 관한 국제 선언 및 법규 마련이 일어나고 있다. 이에 2024 AI 서울 정상회의에 참가하지 않은 나라는 어디인가? 
 1.호주 2.영국 3.네덜란드 4.미국",3
문화 관점,과학기술,선다형,스마트팜,"유럽에서는 2009년부터 국제 공동 연구 프로젝트를 통해 농업 분야에 대한 연구 개발을 하여 스마트팜 산업 지원을 하고 있습니다. 한국에서는 어떤 기관을 중심으로 스마트 농업 및 농업 분야 연구가 이루어지고 있나요? 
 1. 정보통신산업진흥원 2. 농림축산식품부 3. 행정안전부 4. 문화체육관광부",2
문화 지식,풍습/문화유산,선다형,손 없는 날,"한국에서 혼례나 이사, 개업과 같이 중요한 날의 기준으로 삼는 민속신앙 중 하나로, 악귀가 없는 날을 의미하는 택일을 무엇이라 하나요? 
 1. 길일   2. 손 없는 날    3. 행운 일    4. 복날",2
문화 실행,일상생활,선다형,지하철 이용,"한국에서 만 65세 이상의 노인은 지하철을 탈 때 얼마를 내야 하나요? 
 1. 1,300원     2. 2,000원     3. 1,150원     4. 무료",4
문화 지식,일상생활,단답형,주거 계약,임대인에게 보증금을 일정 지불하고 계약 기간 동안 집을 임차할 수 있는 한국의 주거 계약 형태를 무엇이라고 하나요?,전세
문화 실행,과학기술,단답형,알뜰폰,"알뜰폰을 셀프로 개통하기 위한 과정을 순서에 맞게 배열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. usim 일련 번호를 통한 셀프 개통 신청  ㄴ. usim 구매  ㄷ. 단말기, 요금제 결정   ㄹ. 본인인증 및 가입신청서 작성  ",ㄷ-ㄴ-ㄹ-ㄱ#ㄷ - ㄴ  -ㄹ - ㄱ
문화 지식,예술,선다형,서편제,"기구한 운명을 타고난 소리꾼 남매의 한에서 피어나는 소리의 예술을 형상화한 이청준의 소설 이름은? 
 1.남편제 2.북편제 3.서편제 4.동편제",3
문화 지식,풍습/문화유산,선다형,나전칠기,"얇게 간 조개 껍데기를 여러 형태로 오려 기물의 표면에 감입시켜 꾸미는 한국의 장식기법은 무엇인가? 
 1.상감 2.나전칠기 3.돋을새김 4.오목새김",2
문화 관점,교육,선다형,초등학교 교육,"한국과 프랑스의 초등학교 교육 과정에서의 설명으로 옳지 않은 것은 무엇인가요? 
 1. 한국은 초등학교가 6년 과정이지만 프랑스는 5년 과정으로 이루어져 있음 2. 한국은 많은 학생들이 학원이나 과외로 추가 학습을 하지만 프랑스는 학생들의 전인적 발달을 중요하게 생각함 3. 프랑스는 공립교육은 종교로부터 독립적이지만 한국의 사립학교에서는 종교 교육이 이루어질 수 있음 4. 프랑스는 협동 학습만을 중시하지만 한국은 개별 학습만을 중시함  5. 프랑스와 한국 모두 모든 학생에게 평등한 교육 기회를 제공하는 것을 목표로 함",4
문화 지식,지리,단답형,국립공원,"강원도 인제, 고성, 양양, 속초에 걸쳐 있으며 한국의 다섯 번째 국립공원으로 지정된 산의 이름은 무엇인가요?",설악산
문화 지식,예술,단답형,상감시법,"고려청자의 대표적인 기법 중 하나로, 그릇 표면에 무늬를 새긴 후 다른 색의 흙으로 메워 넣는 기법은 무엇인가요?",상감기법#상감 기법
문화 지식,풍습/문화유산,단답형,국립한글박물관,"한글과 한글문화의 가치를 보존, 확산, 재창조하고자 2014년 10월 9일 개관한 곳은 어디인가?",국립한글박물관#국립 한글 박물관#국립 한글박물관
문화 지식,사회,선다형,파이어족,"한국에서 경제적 자립과 조기 은퇴를 추구하는 삶을 실천하는 이들을 무엇이라 하나요? 
 1. 욜로족 2. 캥거루족 3. 파이어족 4. 노동자족",3
문화 지식,정치/경제,선다형,지방 자치 단체,"지방 자치를 위한 조례를 제정하며 지방 자치 단체의 장이 제출한 예산안을 심의하고 의결하는 기관의 이름은 무엇인가요? 
 1.자치 의회  2.지방 의회  3.지역 의회  4.지방 법원",2
문화 지식,예술,단답형,춘향가,"판소리 '춘향가', '심청가', '적벽가' 등을 개작했다고 알려진 조선 후기 인물은 누구인가요?",신재효
문화 지식,예술,선다형,광장,"한국 소설 '광장'의 작가는? 
 1.최인훈 2.김승옥 3.박경리 4.신경숙",1
문화 지식,과학기술,선다형,다누리 위성,"한국항공우주연구원이 개발한 한국 최초의 달 궤도 탐사선의 이름은 무엇인가요? 
 1.나로호  2.다누리  3.누리호  4.아리랑",2
문화 지식,일상생활,선다형,수학여행,"학생들에게 현장 학습과 단체 생활 경험을 제공하기 위해 실시하는 활동은 무엇인가요? 
 1. 수학여행  2. 수련회  3. 단체 활동  4. 자치 활동",1
문화 지식,과학기술,선다형,우장춘,"한국의 유명한 농학자로, 채소종자의 육종합성에 성공하고 벼의 수도이기작 등을 연구한 사람은 누구인가요? 
 1. 우장춘    2. 이태규     3. 이휘소     4. 우범선",1
문화 지식,예술,선다형,조선 풍속화,"조선 시대 화가 김홍도의 작품이 아닌 것은? 
 1.미인도 2.군선도 3.서당 4.씨름도 5.대장간",1
문화 실행,일상생활,선다형,국립해양박물관,"2025년 기준 국립해양박물관에서 해양 생물에게 먹이를 주는 모습은 어디서 볼 수 있나요?
1. 3층 해양관 2. 2층 기획전시실 3. 2층 어린이박물관 4. 3층 수족관",4
문화 지식,풍습/문화유산,선다형,장례 풍속,"한국의 장례 풍속에 대한 설명으로 옳지 않은 것은 무엇인가요? 
 1. 1990년대에는 묘지 문제를 해결하기 위해 화장 위주의 장례 정책을 펴기 시작했다. 2. 한국은 일반적으로 매장과 화장을 주로 행하였다. 3. 예전에는 각기 신분과 지위와 상관없이 장기가 같았으나 최근에는 달라지는 추세이다. 4. 전통적으로 상여나 우마차로 시신을 운구했으나 일제강점기에는 자동차로도 장지까지 운구할 수 있도록 했다.",3
문화 실행,지리,선다형,어린이보호구역,"어린이보호구역에서 자동차 운행 속도 제한은 얼마인가요? 
 1. 3km  2. 30km  3. 50km  4. 60km",2
문화 관점,정치/경제,선다형,대통령제,"미국은 대통령 선거에서 대통령과 부통령 후보가 함께 출마합니다. 한국에서는 국무총리를 어떤 방식으로 선출하나요? 
 1. 대통령이 임명  2. 국민 투표  3. 국회의장의 임명  4. 대통령과 국무총리의 공동 출마",1
문화 지식,역사,선다형,팔조법금,"고조선시대의 법률 이름은? 
 1.만민법 2.골품제 3.태형률 4.팔조법금",4
문화 지식,지리,선다형,기차 예매 방법,"기차 승차권을 예매할 수 있는 방법으로 옳지 않은 것은? 
 1. 코레일 홈페이지 사용  2. 역사 내 승차권 발매기 사용  3. 모바일 앱 사용  4. 역사 내 코레일 사무실 방문",4
문화 지식,교육,선다형,조선시대 교육제도,"조선 시대 한문교육기관을 부르던 이름이 아닌 것은? 
 1.대학 2.학당 3.사숙 4.서당",1
문화 지식,일상생활,선다형,식재료,"찌개류나 탕류, 조림에 많이 사용되는 양념으로 고춧가루, 누룩, 찹쌀을 사용하여 만드는 한국의 양념은 무엇인가요? 
 1. 고추장 2. 된장 3. 쌈장 4. 고추장아찌",1
문화 지식,지리,선다형,지하철 노선,"수도권 지하철 노선 중 민간사업으로 개설되어 높은 운임료를 지불해야 하며 광교, 판교, 양재를 지나가는 노선의 이름은 무엇인가요? 
 1. 경강선 2. 신분당선 3. 수인분당선 4. 경의중앙선",2
문화 지식,풍습/문화유산,단답형,기우제,가뭄이 들었을 때 비가 내리기를 기원하며 국가 단위로 기도를 올리는 의례를 무엇이라 하나요?,기우제
문화 지식,가치관,선다형,엿을 먹다,"한국에서 시험에 붙으라는 의미로 먹는 음식으로 끈끈한 성질을 가진 음식은 무엇인가요? 
 1. 엿     2. 강정     3. 사탕     4. 껌",1
문화 지식,지리,선다형,가뭄,"한국의 겨울부터 봄까지 발생하는 자연재해 중 하나로, 부족한 강수로 인해 발생하는 재해는 무엇인가요?  
 1. 가뭄  2. 홍수  3. 장마  4. 폭설",1
문화 지식,풍습/문화유산,선다형,강강술래,"한국에서 추석날 밤이나 정월 대보름날 밤에 성인 여자가 하는 놀이로, 전라남도 서남 해안 지방에서 하는 노래와 무용을 무엇이라 하나요? 
 1. 탑돌기    2. 원돌기   3. 길쌈 4. 강강술래",4
문화 관점,교육,선다형,수능,한국의 수학능력시험과 성격이 비슷하지 않은 시험은? 1. A레벨 2. SAT 3. GMAT 4. 아비투어,3
문화 실행,일상생활,선다형,산후조리원,"한국에서 아이를 낳고 난 뒤 가는 보건 시설로 무엇이 있나요? 
 1. 요양원      2. 요양 병원     3. 산부인과     4. 산후조리원",4
